Listing_ID;Layout;Condition;Floor_Space;Price;Fees;Refundable_security_deposit;Town;Metropolitan_district;Street;Ownership_Type;Building_Type;PENB;Furnishing_and_Fittings;Floor;Balcony;Terrace;Cellar;Loggia;Parking;Lift;Garage;New_building;Available_from;Heating;Total_number_of_floors;Renovation;Design;Age
693854;Studio;Excellent;30 m²;CZK 9,000;CZK 1,700;CZK 14,000;Prague;Košíře;Vrchlického;Personal;Brick building;E;Partially furnished;4;No;No;No;No;No;Yes;No;;29. 11. 2021;;;;;
519773;3 bedroom;Excellent;66 m²;CZK 18,900;CZK 1,000;;Prague;Vršovice;Ruská;Personal;Brick building;G;Partially furnished;1;No;No;No;No;No;No;No;;01. 12. 2021;;;;;
693851;1 bedroom;Excellent;44 m²;CZK 8,000;CZK 4,000;CZK 8,000;Rosice u Brna;Jihomoravský Region;Husova;Personal;Brick building;F;Partially furnished;2;No;No;Yes;No;Yes;No;No;;20. 12. 2021;Gas boiler;;;Standard materials and solutions;;400 m²
693849;1 bedroom;Good;35 m²;CZK 9,300;CZK 600;CZK 18,600;Prague;Holešovice;Podplukovníka Sochora;Personal;Brick building;G;Unfurnished;1;No;No;No;No;No;No;No;;01. 12. 2021;;;;;
693848;2 bedroom;Excellent;54 m²;CZK 6,500;;CZK 13,000;Paskov;Moravskoslezský Region;Bělská;Personal;Prefab concrete building;E;;3;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 5,000
693847;2 bedroom;Excellent;57 m²;CZK 8,300;;CZK 16,600;Ostrava;Poruba;Matěje Kopeckého;Personal;Brick building;E;;3;No;No;Yes;No;No;No;No;;;;;;;;CZK 6,000
693846;1 bedroom with open-plan kitchen;Excellent;43 m²;CZK 7,300;;CZK 14,600;Ostrava;Kunčičky;Nadační;Personal;Brick building;E;;1;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693845;2 bedroom;Good;53 m²;CZK 8,550;;CZK 17,100;Moravská Ostrava;Moravskoslezský Region;Lechowiczova;Personal;Prefab concrete building;G;;7;No;No;No;No;Yes;No;No;;;;;;;;CZK 6,000
693844;2 bedroom;Good;54 m²;CZK 6,100;;CZK 12,200;Havířov-město;Moravskoslezský Region;Na Nábřeží;Personal;Brick building;D;;5;Yes;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693843;2 bedroom;Good;55 m²;CZK 6,300;;CZK 12,600;Havířov-město;Moravskoslezský Region;Husova;Personal;Brick building;E;;5;Yes;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693842;2 bedroom;Good;61 m²;CZK 6,500;;CZK 13,000;Havířov-město;Moravskoslezský Region;Mírová;Personal;Brick building;E;;5;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693839;2 bedroom;Excellent;70 m²;CZK 13,500;CZK 3,000;CZK 45,000;Kolín;Středočeský Region;Plynárenská;Personal;Brick building;G;Partially furnished;1;No;No;Yes;No;Yes;No;No;;26. 11. 2021;;;;;
693841;3 bedroom;Good;64 m²;CZK 6,650;;CZK 13,300;Paskov;Moravskoslezský Region;Bělská;Personal;Brick building;E;;3;Yes;No;Yes;No;Yes;No;No;;;;;;;;CZK 5,000
649629;1 bedroom;Good;30 m²;CZK 10,000;CZK 1,800;CZK 11,000;Brno;Nový Lískovec;Rybnická;Personal;Brick building;G;Furnished;1;No;Yes;No;No;No;No;No;;09. 12. 2021;;;;;
693054;Studio;Excellent;31 m²;CZK 10,000;CZK 500;CZK 21,000;Husovice;Jihomoravský Region;Brno;Personal;Brick building;G;Furnished;-1;No;No;No;No;No;No;No;;22. 11. 2021;;;;;
693838;Studio;Excellent;40 m²;CZK 10,000;CZK 2,200;CZK 10,000;Pardubice;Pardubický Region;Sezemická;Personal;Brick building;B;Furnished;3;No;No;Yes;No;No;No;No;;25. 11. 2021;;;;;
416985;1 bedroom with open-plan kitchen;;58 m²;CZK 14,000;CZK 5,000;CZK 19,000;Prague;Hostivař;Na Plískavě;Personal;Brick building;;Furnished;2;No;Yes;No;No;No;No;No;;;;;;;
693836;1 bedroom with open-plan kitchen;Excellent;44 m²;CZK 10,000;CZK 2,000;CZK 15,000;Plzeň;Plzeňský Region;Tylova;Personal;Brick building;G;Furnished;3;No;No;No;No;No;No;No;;01. 01. 2022;;;;;
297556;1 bedroom with open-plan kitchen;New build;60 m²;CZK 17,200;CZK 3,800;CZK 30,000;Prague;Vysočany;Sousedíkova;Personal;Brick building;;Partially furnished;2;Yes;No;No;No;Yes;Yes;No;Yes;10. 01. 2022;;Middle floor;;;
634609;Studio;Excellent;30 m²;CZK 10,000;CZK 2,000;CZK 15,000;Olomouc;Hodolany;Kavaleristů;Personal;Brick building;G;Furnished;2;Yes;No;No;No;No;Yes;No;;01. 12. 2021;;Middle floor;;;
